condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
no_nvp,pregnancy_duration_term,length,birth,33320,32136,50.3975757394562,2.01802881288628,47,49,50,52,54
no_nvp,pregnancy_duration_term,length,6w,33320,14921,56.781244951134,2.28175843098014,53,55,57,58,60.5
no_nvp,pregnancy_duration_term,length,3m,33320,20707,61.9568815670988,2.39866207737433,58,60.5,62,63.5,66
no_nvp,pregnancy_duration_term,length,6m,33320,20930,67.8025645037642,2.48528010150376,64,66,68,69.5,72
no_nvp,pregnancy_duration_term,length,8m,33320,18229,71.2941168179962,2.62895949564163,67,69.5,71,73,75.5
no_nvp,pregnancy_duration_term,length,1y,33320,18230,76.4560587749725,2.74396261808124,72,74.5,76.5,78.0034290905737,81
no_nvp,pregnancy_duration_term,length,16m,33320,13742,80.6834288275087,3.02311753148323,76,78.6,80.5875784294757,82.5594681997844,85.8605455851389
no_nvp,pregnancy_duration_term,length,2y,33320,13765,88.5790727347977,3.50758403974349,83,86.1060999606454,88.5,91,94.1891621678126
no_nvp,pregnancy_duration_term,length,3y,33320,14013,96.5957725811718,3.90427046117573,90,94,97,99,103
no_nvp,pregnancy_duration_term,length,5y,33320,11618,113.027802955609,5.04852380543981,105,110,113,116,121
no_nvp,pregnancy_duration_term,length,7y,33320,12246,125.99036836999,5.49657255121112,117,122,126,130,135
no_nvp,pregnancy_duration_term,length,8y,33320,9325,132.194581204417,5.72688784070589,123,128,132,136,142
no_nvp,pregnancy_duration_term,weight,birth,33320,33280,3.59804782175796,0.492215898717385,2.81,3.27,3585,3915,4.43
no_nvp,pregnancy_duration_term,weight,6w,33320,18823,5.00238958579968,0.677149856969738,3.9031,4.55,4.99,5445,6.14
no_nvp,pregnancy_duration_term,weight,3m,33320,21047,6.37085777611312,0.807166464909473,5125,5.82,6325,6.88,7.75
no_nvp,pregnancy_duration_term,weight,6m,33320,21011,7.93063021347023,0.946451100850974,6.49,7.26,7.88,8.52,9.57
no_nvp,pregnancy_duration_term,weight,8m,33320,18338,8.8317631748609,1.03072943443257,7.25,8.11,8.78,9.48,10.5992106123212
